node	ACAN	ADAMTSL4	ANAPC11	ARMS2	ASPH	ATN1	ATXN7	BAG6	CACNA1A	CAVIN1	CLPP	COL8A1	CREB5	CXCL5	CYSRT1	DDIAS	DNAJC10	DYRK1A	ECM1	EFEMP2	EGFL7	ELN	EMILIN1	FAM110A	FBLN1	FBLN5	FBLN7	FBN1	FBN2	FBXW5	FN1	FXR1	GFI1B	HOXA1	HSD3B7	HSPA5	HSPG2	HTRA1	IGFBP6	IGFL3	ITM2B	KRTAP111	KRTAP192	LAMA5	LCE1A	LCE1C	LCE2C	LCE3A	LCE3D	LINGO1	LOX	LOXL1	LTBP1	LTBP3	LTBP4	MAGEA3	MEOX2	MFAP1	MFAP2	MFAP3	MFAP4	MFAP5	MRPL12	NID1	NLGN3	NOS3	NUFIP2	OCLN	OTX1	PLSCR1	PLSCR4	PRNP	PROP1	RECQL4	RERE	SGTA	SHANK3	ST14	TFAP2C	TGFB1	TIMP3	TRIM42	VCAN	VTN	ZBTB9	ZFP41	ZNF136	ZNF324	ZNF408	ZNF444	ZNF460	ZNF627	ZNF696	ZNF747	ZNF764	ZNF768
root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root	1	1		1		1			1	1		1	1	1		1	1		1	1	1	1	1		1	1		1	1	1	1	1	1	1	1		1	1		1	1	1	1	1	1	1		1	1	1	1	1			1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1				1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
G116_24_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G116_24_115	1	1		1		1			1	1		1	1	1		1	1		1	1	1	1	1		1	1		1	1	1	1	1	1	1	1		1	1		1	1	1	1	1	1	1		1	1	1	1	1			1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1				1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
G24_0_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G24_0_23				1		1			1				1									1	1		1	1		1	1				1	1	1											1		1	1								1	1	1	1	1	1					1		1										1					1					1	1						
G115_51_114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G115_51_114	1	1		1					1	1		1	1	1		1	1		1	1	1				1	1				1	1	1	1		1		1	1		1	1	1	1	1	1	1		1	1	1	1	1			1	1	1						1	1	1			1	1	1	1	1		1				1			1	1	1		1	1	1	1	1	1	1	1	1	1	1	
NP001024582.1_6239_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP001024582.1_6239_0		1		1	1	1			1	1		1	1	1		1	1		1	1	1	1	1		1	1		1	1	1		1	1	1	1			1		1	1	1	1	1	1	1		1	1	1	1	1			1	1	1	1	1	1	1	1	1		1		1	1	1	1	1	1		1				1	1		1	1		1	1	1	1	1	1	1	1	1	1	1	1	
