DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Modules number
COLOR,#00FF00
WIDTH,500
SHOW_VALUE,1
DATA
G116_24_115,24
G24_0_23,40
G115_51_114,29
NP001024582.1_6239_0,21
G23_1_22,64
G51_27_50,34
G114_52_113,23
XP018668081.2_7719_1,47
G22_10_21,150
G27_25_26,25
G50_38_49,42
XP002125565.2_7719_52,6
G113_73_112,24
G10_4_9,150
G21_11_20,203
XP018668509.1_7719_25,15
NP001293878.1_6239_26,15
G38_28_37,42
G49_39_48,52
G73_53_72,10
G112_74_111,26
G4_2_3,123
G9_5_8,153
XP005160777.1_7955_11,152
G20_12_19,228
XP031754335.1_8364_28,29
G37_29_36,43
XP001341277.2_7955_39,27
G48_40_47,56
XP002119967.2_7719_53,5
G72_60_71,18
XP002128973.1_7719_74,14
G111_85_110,30
XP031747766.1_8364_2,94
XP001920501.5_7955_3,72
XP010808812.1_9913_5,135
G8_6_7,155
XP012816895.2_8364_12,167
G19_13_18,256
NP571117.2_7955_29,30
G36_30_35,44
XP017949170.2_8364_40,37
G47_41_46,56
G60_56_59,22
G71_61_70,24
G85_75_84,28
G110_96_109,32
NP001278744.1_9606_6,124
XP006498564.1_10090_7,140
XP025008796.2_9031_13,212
G18_14_17,264
NP989496.1_9031_30,33
G35_31_34,41
XP015148926.2_9031_41,43
G46_42_45,54
G56_54_55,21
G59_57_58,22
XP001918972.3_7955_61,22
G70_62_69,24
NP001005979.1_7955_75,26
G84_76_83,31
G96_88_95,31
G109_99_108,33
NP001179466.3_9913_14,255
G17_15_16,258
NP001091498.1_9913_31,30
G34_32_33,43
XP002697177.1_9913_42,40
G45_43_44,55
XP040501945.1_9031_54,19
XP031756690.1_8364_55,13
XP002665476.3_7955_57,21
XP017209808.2_7955_58,15
NP001313425.1_9031_62,21
G69_63_68,25
NP001025619.1_8364_76,30
G83_77_82,31
G88_86_87,29
G95_89_94,33
G99_97_98,30
G108_100_107,31
NP114141.2_9606_15,258
XP006529820.1_10090_16,257
NP006477.3_9606_32,32
NP034310.2_10090_33,30
NP001004019.1_9606_43,52
NP032018.2_10090_44,51
XP002940445.2_8364_63,23
G68_64_67,26
NP001264403.1_9031_77,31
G82_78_81,32
NP001008587.1_7955_86,29
NP001153830.1_7955_87,29
XP002939376.2_8364_89,29
G94_90_93,36
NP001103991.1_7955_97,20
XP009305317.1_7955_98,25
XP002936872.1_8364_100,27
G107_101_106,32
XP002691171.2_9913_64,25
G67_65_66,25
XP005222280.1_9913_78,32
G81_79_80,32
NP001157824.1_10090_90,29
G93_91_92,34
XP025004920.1_9031_101,29
G106_102_105,37
XP011508887.1_9606_65,24
NP077199.2_10090_66,24
NP001371087.1_9606_79,31
NP001348916.1_10090_80,32
NP001069517.1_9913_91,31
NP058634.4_9606_92,32
NP001075186.1_9913_102,30
G105_103_104,37
NP001034437.1_9606_103,30
NP666127.2_10090_104,33
